Project	Effective Year	County	ESD Region
Dark	2014	Kings	NYC
Gotham 14/15 - Season 1	2014	Kings	NYC
"People, Places & Things"	2014	Kings	NYC
"Great Despair, The"	2014	Kings	NYC
Man With Van	2014	Kings	NYC
"Preppie Connection, The"	2014	Kings	NYC
Stuck	2014	Kings	NYC
Stereotypically You	2014	Kings	NYC
One Bad Choice Season 1	2014	New York	NYC
Tonight Show Starring Jimmy Fallon S. 2	2014	New York	NYC
Sunny Side Up Season 8	2014	New York	NYC
Romeo and Juliet on Broadway	2014	New York	NYC
America's Got Talent Season 9	2014	New York	NYC
Jack and Triumph	2014	New York	NYC
Sunny Side Up Show Season 7	2014	New York	NYC
Friends of the People Pilot (fka TruTV)	2014	New York	NYC
Sex&Drugs&Rock&Roll Pilot	2014	New York	NYC
Friends of the People Season 1	2014	New York	NYC
Saturday Night Live Season 40	2014	New York	NYC
License Plates	2014	New York	NYC
Tonight Show	2014	New York	NYC
Good Friday	2014	Queens	NYC
"Slap, (The)"	2014	Queens	NYC
Alpha House Season 2	2014	Queens	NYC
Orange is the New Black Season 3	2014	Queens	NYC
Queen of Glory	2014	Queens	NYC
Nurse Jackie Season 7	2014	Queens	NYC
No Hookups Please	2014	Queens	NYC
ABYSM	2014	Queens	NYC
State of Affairs Pilot	2014	Queens	NYC
Normal Heart	2013	Nassau	Long Island
Hard Sell	2013	Nassau	Long Island
Annie	2013	Nassau	Long Island
Sound of Music Live	2013	Nassau	Long Island
Speakeasy	2013	Nassau	Long Island
Money Pilot	2013	Queens	Long Island
John Wick	2013	Queens	Long Island
Gabriel	2013	Queens	Long Island
Person of Interest	2013	Queens	Long Island
Zuritsky/Rottenberg Pilot	2013	Queens	Long Island
Elementary Season 2	2013	Queens	Long Island
Taxi Brooklyn	2013	Queens	Long Island
Michael J. Fox Series	2013	Queens	Long Island
Murder in Manhattan  Pilot	2013	Queens	Long Island
Blacklist Pilot	2013	Queens	Long Island
White Collar Season 5	2013	Queens	Long Island
Entering the Sea	2013	Queens	Long Island
People in Jersey - Pilot	2013	Queens	Long Island
Girls Season 3	2013	Queens	Long Island
Black Box Season 1(13/14)	2013	Queens	Long Island
Up The River	2013	Dutchess	Mid-Hudson
Mi America	2013	Orange	Mid-Hudson
Black Kid	2013	Orange	Mid-Hudson
Bad Guys	2013	Ulster	Mid-Hudson
Late Phases	2013	Ulster	Mid-Hudson
Thirsty	2013	Ulster	Mid-Hudson
Other Woman	2013	Westchester	Mid-Hudson
Wild Canaries	2013	Bronx	NYC
Happy Baby	2013	Kings	NYC
Angelica	2013	Kings	NYC
Jamie Marks Is Dead	2013	Kings	NYC
Obvious Child	2013	Kings	NYC
Kelly & Cal	2013	Kings	NYC
Last 5 Years (The)	2013	Kings	NYC
The Life	2013	Kings	NYC
Nasty Baby	2013	Kings	NYC
Disposable Lovers	2013	Kings	NYC
Hits	2013	Kings	NYC
Unreachable by Conventional Means	2013	Kings	NYC
Whatever This Is	2013	Kings	NYC
Jane Wants A Boyfriend	2013	Kings	NYC
My Dead Boyfriend	2013	Kings	NYC
I Origins	2013	Kings	NYC
"Factory, The"	2013	Kings	NYC
June Project	2013	Kings	NYC
Good Marriage	2013	Kings	NYC
Somewhere In The Middle	2013	Kings	NYC
So Funny	2013	Kings	NYC
The Man On Her Mind	2013	Kings	NYC
Laurence	2013	Kings	NYC
Knick Season 1	2013	Kings	NYC
Inside Amy Schumer Season 2	2013	Kings	NYC
Alpha House  Pilot	2013	Kings	NYC
Us and Them(fka Friends and Family)	2013	Kings	NYC
Broadway 4d	2013	Kings	NYC
Other Plans	2013	Kings	NYC
Julia	2013	Kings	NYC
Fall To Rise	2013	Kings	NYC
Americans Season 2	2013	Kings	NYC
Asockalypse	2013	Kings	NYC
Hell's Heart	2013	Kings	NYC
Tomorrow People  Pilot	2013	Kings	NYC
Marc Lawrence Project	2013	Kings	NYC
Hamlet	2013	Kings	NYC
Stealing Cars	2013	Kings	NYC
Carrie Diaries Season 2	2013	Kings	NYC
Following Season 2	2013	Kings	NYC
Death Pact Pilot	2013	Kings	NYC
Power Season 1(13/14)	2013	Kings	NYC
Boardwalk Empire Season 4	2013	Kings	NYC
St.Vincent de Van Nuys	2013	Kings	NYC
Tom's Dilemma	2013	Kings	NYC
We'll Never Have Paris	2013	Kings	NYC
"Mend, The"	2013	Kings	NYC
Untitled Julian Branciforte Project	2013	Kings	NYC
Cigarette Soup	2013	Kings	NYC
Split Productions	2013	Kings	NYC
Listen Up Philip	2013	Kings	NYC
Off The Great Wall	2013	Kings	NYC
Blame it on the Hustle	2013	Kings	NYC
Straight Outta Tompkins	2013	Kings	NYC
It's All Relative	2013	Kings	NYC
The Black List	2013	New York	NYC
Law and Order SVU Season 15	2013	New York	NYC
Bad Advice From My Brother-Pilot	2013	New York	NYC
Sam & Amira	2013	New York	NYC
Saturday Night Live Season 39	2013	New York	NYC
Legion of Goons Pilot	2013	New York	NYC
America's Got Talent S.8	2013	New York	NYC
Bluebloods S.4	2013	Queens	NYC
X/Y	2013	Queens	NYC
Ordained Pilot	2013	Queens	NYC
Ironside Pilot	2013	Queens	NYC
Assistance Pilot	2013	Queens	NYC
Royal Pains Season 5	2013	Queens	NYC
Mania Days	2013	Queens	NYC
Good Wife S.5	2013	Queens	NYC
Hostages Pilot	2013	Queens	NYC
Birdman	2013	Queens	NYC
Beware the Night	2013	Queens	NYC
Nurse Jackie Season 6	2013	Queens	NYC
Orange Is The New Black Season Two	2013	Queens	NYC
Alpha House Season 1	2013	Queens	NYC
Unforgettable Season 2	2013	Queens	NYC
The Leftovers	2013	Queens	NYC
Hostages Season 1	2013	Queens	NYC
Affair Pilot	2013	Queens	NYC
Broad City Season 1	2013	Queens	NYC
Us & Them	2013	Queens	NYC
CK	2013	Queens	NYC
Believe Season 1	2013	Queens	NYC
Trending Down	2013	Queens	NYC
Onion Newsroom Pilot	2013	Queens	NYC
Believe Pilot	2013	Queens	NYC
Gaffigan Pilot	2013	Queens	NYC
"Romans, The"	2013	Erie	Western NY
Cold Comes the Night	2012	Columbia	Capital District
Adult World	2012	Monroe	Finger Lakes
London Calling	2012	Nassau	Long Island
Affluenza	2012	Nassau	Long Island
Elementary Series 1	2012	Queens	Long Island
Zero Hour Season 1	2012	Queens	Long Island
Gossip Girl Season 6	2012	Queens	Long Island
Person Of Interest Season 2	2012	Queens	Long Island
Elementary Pilot	2012	Queens	Long Island
Carrie Diaries Pilot	2012	Queens	Long Island
NonStop	2012	Queens	Long Island
Thirty Rock Season 7	2012	Queens	Long Island
El Cielo es Azul	2012	Suffolk	Long Island
Dark was the Night	2012	Suffolk	Long Island
Deep Powder	2012	Dutchess	Mid-Hudson
Project L aka Green Blade Rising	2012	Orange	Mid-Hudson
Contest	2012	Ulster	Mid-Hudson
Doomsdays	2012	Ulster	Mid-Hudson
We are What We Are	2012	Ulster	Mid-Hudson
Sisterhood of Night	2012	Ulster	Mid-Hudson
Bitter Pill	2012	Westchester	Mid-Hudson
"Birders Guide To Everything, A"	2012	Westchester	Mid-Hudson
"Corrections, The"	2012	Westchester	Mid-Hudson
Made in Jersey fka Baby Big Shot Pilot	2012	Westchester	Mid-Hudson
Winter's Tale	2012	Westchester	Mid-Hudson
In Lieu of Flowers	2012	Bronx	NYC
Muhammad Ali's Greatest Fight	2012	Kings	NYC
Girl on the Train	2012	Kings	NYC
Last I Heard	2012	Kings	NYC
Can A Song Save Your Life	2012	Kings	NYC
Fading  Gigolo	2012	Kings	NYC
It Felt Like Love	2012	Kings	NYC
Case of You	2012	Kings	NYC
B Side	2012	Kings	NYC
Clutter	2012	Kings	NYC
Samuel's Game	2012	Kings	NYC
"Black Dog, Red Dog"	2012	Kings	NYC
Butterflies of Bill Baker	2012	Kings	NYC
Some Velvet Morning	2012	Kings	NYC
Sleeping with the Fishes	2012	Kings	NYC
Growing Up and Other Lies	2012	Kings	NYC
Inside Amy Schumer	2012	Kings	NYC
"Harvest, The"	2012	Kings	NYC
Gotham Pilot	2012	Kings	NYC
Admission	2012	Kings	NYC
My Building Pilot	2012	Kings	NYC
Six Six Six Park Season 1	2012	Kings	NYC
Team Toon	2012	Kings	NYC
Alien Dawn(fka Black Dawn)	2012	Kings	NYC
Blowtorch	2012	Kings	NYC
Christmas Tree Project Untitled fka Lucky Dog	2012	Kings	NYC
Lullaby	2012	Kings	NYC
Blood Ties	2012	Kings	NYC
Americans Pilot	2012	Kings	NYC
Maid's Room	2012	Kings	NYC
They Came Together	2012	Kings	NYC
Americans Season 1	2012	Kings	NYC
Americana Pilot	2012	Kings	NYC
Golden Boy Pilot	2012	Kings	NYC
Wolf of Wall Street	2012	Kings	NYC
Chinese Puzzle	2012	Kings	NYC
Noah	2012	Kings	NYC
Truth About Lies	2012	Kings	NYC
Kilimanjaro	2012	Kings	NYC
Match	2012	Kings	NYC
Very Good Girls	2012	Kings	NYC
Boardwalk Empire Season 3	2012	Kings	NYC
Girls Season 2	2012	Kings	NYC
Following Season 1	2012	Kings	NYC
Made In Jersey Season 1	2012	Kings	NYC
Carrie Diaries Season 1	2012	Kings	NYC
Teenage Mutant Ninja Turtles	2012	Kings	NYC
Sweets	2012	Kings	NYC
Expert Witness	2012	Kings	NYC
Joe	2012	Kings	NYC
Stand Clear of the Closing Doors	2012	Kings	NYC
Lucky Number	2012	Kings	NYC
Rover	2012	Kings	NYC
Public School Project Untitled	2012	Kings	NYC
Skeleton Twins	2012	Kings	NYC
Disappearance of Eleanor Rigby	2012	New York	NYC
Little Tin Man	2012	New York	NYC
Louie Season 3	2012	New York	NYC
SNL Weekend Update Election Specials	2012	New York	NYC
Saturday Night Live Season 38	2012	New York	NYC
Socio	2012	New York	NYC
Law and Order SVU Season 14	2012	New York	NYC
Broad City Pilot	2012	New York	NYC
Trooper Pilot	2012	Queens	NYC
Guilty Pilot	2012	Queens	NYC
Royal Pains Season 4	2012	Queens	NYC
Deception(fka Infamous) Pilot	2012	Queens	NYC
Good Wife Season 4	2012	Queens	NYC
Blue Bloods Season 3	2012	Queens	NYC
Innocence	2012	Queens	NYC
Home	2012	Queens	NYC
Smash Season 2	2012	Queens	NYC
Golden Boy Series 1	2012	Queens	NYC
Bronx Warrants Pilot	2012	Queens	NYC
Angriest Man in Brooklyn	2012	Queens	NYC
Deception(fka Infamous) Series	2012	Queens	NYC
Secret Lives of Husbands and Wives	2012	Queens	NYC
Criminal Justice	2012	Queens	NYC
"Promise Keeper, The"	2012	Queens	NYC
"Charlie, Trevor and a Girl Savannah"	2012	Queens	NYC
Six Six Six Park Avenue Pilot	2012	Queens	NYC
Secret Life of Walter Mitty	2012	Queens	NYC
My Man is a Loser	2012	Queens	NYC
Nurse Jackie Season 5	2012	Queens	NYC
Next Caller	2012	Queens	NYC
Orange is the New Black	2012	Queens	NYC
That thing with the Cat	2012	Queens	NYC
"Roland Emmerich Pilot, Untitled"	2012	Queens	NYC
Friend Will Help You Move	2012	Queens	NYC
Bubble Girl	2012	Erie	Western NY
Buffalo Boys	2012	Erie	Western NY
Challenger	2011	Albany	Capital District
Place Beyond the Pines	2011	Schenectady	Capital District
King's Faith	2011	Monroe	Finger Lakes
For Tomorrow We Die	2011	Monroe	Finger Lakes
Wife Alone	2011	Monroe	Finger Lakes
Nest Egg(fka Aggression Scale)	2011	Monroe	Finger Lakes
Shells	2011	Monroe	Finger Lakes
Phil Spector	2011	Nassau	Long Island
Sinister(fka Found Footage)	2011	Nassau	Long Island
Ringer Pilot	2011	Nassau	Long Island
Darkroom	2011	Nassau	Long Island
Unforgettable fka Rememberer Pilot	2011	Queens	Long Island
Georgetown Pilot	2011	Queens	Long Island
NYC 2-2 Pilot(fka Rookies)	2011	Queens	Long Island
Gossip Girl Season 5	2011	Queens	Long Island
Unforgettable Season 1	2011	Queens	Long Island
Nous York	2011	Queens	Long Island
White Collar Season 4	2011	Queens	Long Island
Person of Interest Season 1	2011	Queens	Long Island
Gifted Man Season 1	2011	Queens	Long Island
Thirty Rock Season 6	2011	Queens	Long Island
Spring/Fall Pilot	2011	Queens	Long Island
Girls Season 1	2011	Queens	Long Island
How to Make It in America Season 2	2011	Queens	Long Island
Person of Interest Pilot	2011	Queens	Long Island
Alter Egos	2011	Suffolk	Long Island
"Brass Teapot, The"	2011	Orange	Mid-Hudson
In Our Nature(fka Family Tree)	2011	Ulster	Mid-Hudson
Rhymes With Banana	2011	Ulster	Mid-Hudson
Family Games	2011	Westchester	Mid-Hudson
"English Teacher, The"	2011	Westchester	Mid-Hudson
Robot and Frank	2011	Westchester	Mid-Hudson
Magic of Belle Isle(fka Summer at Dog Dave's)	2011	Westchester	Mid-Hudson
Disconnect	2011	Westchester	Mid-Hudson
Imogene	2011	Westchester	Mid-Hudson
Tio Papi	2011	Bronx	NYC
"We and the I, The"	2011	Bronx	NYC
Future Folk	2011	Kings	NYC
Grand Street	2011	Kings	NYC
Half the Perfect World	2011	Kings	NYC
Hannah Has a Ho-Phase	2011	Kings	NYC
Delocated Season 3	2011	Kings	NYC
HairBrained	2011	Kings	NYC
Cybornetics	2011	Kings	NYC
Passing Harold Blumenthal	2011	Kings	NYC
Four	2011	Kings	NYC
Happy House	2011	Kings	NYC
Revenge for Jolly	2011	Kings	NYC
Bert and Arnie's Guide to Friendship	2011	Kings	NYC
Sleepwalk With Me	2011	Kings	NYC
Gimme the Loot	2011	Kings	NYC
Omphalos	2011	Kings	NYC
Red Butterfly fka Tragic Fairytale	2011	Kings	NYC
Palace Living	2011	Kings	NYC
Full Circle	2011	Kings	NYC
Emoticon	2011	Kings	NYC
Madrid without Gravity	2011	Kings	NYC
Longest Week	2011	Kings	NYC
Thirty Six Saints	2011	Kings	NYC
Spaz	2011	Kings	NYC
Lola Versus	2011	Kings	NYC
Excuse Me For Living	2011	Kings	NYC
Nature Calls fka UTR fka Scoutmasters	2011	Kings	NYC
Gun Hill Pilot	2011	Kings	NYC
What Maisie Knew	2011	Kings	NYC
Europa Report (fka Wayfare Thriller)	2011	Kings	NYC
Leaving Circadia	2011	Kings	NYC
Masters of Sex Pilot (fka Masters & Johnson Pilot)	2011	Kings	NYC
Extremely Loud...Incredibly Close	2011	Kings	NYC
Gayby	2011	Kings	NYC
"Breathe In (fka Drake Doremus Project, Untitled)"	2011	Kings	NYC
Wifed Out	2011	Kings	NYC
Blue Caprice	2011	Kings	NYC
Things I Don't Understand	2011	Kings	NYC
"Stare, The"	2011	Kings	NYC
Light Years	2011	Kings	NYC
Boardwalk Empire Season 2	2011	Kings	NYC
Bored to Death Season 3	2011	Kings	NYC
Pan Am Season 1	2011	Kings	NYC
Da Brick	2011	Kings	NYC
Inside Llewyn Davis	2011	New York	NYC
Saturday Night Live Season 37	2011	New York	NYC
Keep the Lights On	2011	New York	NYC
Four	2011	New York	NYC
English Vinglish	2011	New York	NYC
He's Way More Famous Than You	2011	New York	NYC
Time Trumpet Pilot	2011	New York	NYC
Blackjack Pilot	2011	New York	NYC
Law and Order SVU Season 13	2011	New York	NYC
NYC 2-2 Season 1 (fka Rookies)	2011	New York	NYC
Prime Suspect Pilot	2011	New York	NYC
Weekends at Bellevue Pilot	2011	New York	NYC
Law and Order CI Season 10	2011	New York	NYC
Four Hundred Forty Four Last Day on Earth	2011	Queens	NYC
Petunia	2011	Queens	NYC
Forty	2011	Queens	NYC
Modern Love	2011	Queens	NYC
Royal Pains Season 3	2011	Queens	NYC
Gods Behaving Badly	2011	Queens	NYC
Over/Under Pilot	2011	Queens	NYC
Smash Pilot	2011	Queens	NYC
Gifted Man Pilot (fka S.Grant)	2011	Queens	NYC
Eden Pilot	2011	Queens	NYC
Arbitrage	2011	Queens	NYC
Low Life	2011	Queens	NYC
Gregory Brothers Pilot	2011	Queens	NYC
Nurse Jackie Season 4	2011	Queens	NYC
Thanks For Sharing	2011	Queens	NYC
Onion News Network Season 2	2011	Queens	NYC
Bourne Legacy	2011	Queens	NYC
Musical Chairs	2011	Queens	NYC
Pan Am Pilot	2011	Queens	NYC
Police State	2011	Queens	NYC
Ma George	2011	Queens	NYC
Franny	2011	Queens	NYC
Greetings From Tim Buckley	2011	Queens	NYC
King Kelly	2011	Queens	NYC
Bachelorette  fka UntitledLeslye Headland Project	2011	Queens	NYC
Saturday Night Live Season 37	2011	Queens	NYC
Blue Bloods Season 2	2011	Queens	NYC
I Just Want My Pants Back Season 1	2011	Queens	NYC
Smash Season 1	2011	Queens	NYC
Missed Connections	2011	Queens	NYC
"WV Project, The"	2011	Queens	NYC
Fred	2011	Queens	NYC
Girls Against Boys	2011	Queens	NYC
Running Wilde Season 1	2010	Nassau	Long Island
Man on a Ledge	2010	Nassau	Long Island
Gossip Girl Season 4	2010	Queens	Long Island
Curb Your Enthusiasm 806-810	2010	Queens	Long Island
"Sitter, The"	2010	Queens	Long Island
Thirty Rock Season 5	2010	Queens	Long Island
Tower Heist	2010	Queens	Long Island
White Collar Season 3	2010	Queens	Long Island
Girls Pilot (fka L.Dunham)	2010	Queens	Long Island
New Year's Eve	2010	Queens	Long Island
Return	2010	Orange	Mid-Hudson
Art of Love	2010	Ulster	Mid-Hudson
Higher Ground	2010	Ulster	Mid-Hudson
Peace Love Misunderstanding	2010	Ulster	Mid-Hudson
Martha Marcy May Marlene	2010	Ulster	Mid-Hudson
Transatlantic Coffee	2010	Ulster	Mid-Hudson
Being Flynn(fka Another BS NightåÉ)	2010	Westchester	Mid-Hudson
Forbidden Love	2010	Westchester	Mid-Hudson
Vamperifica	2010	Bronx	NYC
Go Down Death fka Hulk	2010	Kings	NYC
Silent House	2010	Kings	NYC
Confession Pilot	2010	Kings	NYC
Hellbenders	2010	Kings	NYC
Two Days in New York	2010	Kings	NYC
Dictator	2010	Kings	NYC
You Bury Your Own (FKA Repatriate)	2010	Kings	NYC
Art of Getting By(fka Homework)	2010	Kings	NYC
My Last Day Without You	2010	Kings	NYC
Generation Um	2010	Kings	NYC
Fugly	2010	Kings	NYC
Young Adult	2010	Kings	NYC
Too Big to Fail	2010	Kings	NYC
Coming Up Roses	2010	Kings	NYC
Boarding House	2010	Kings	NYC
Babygirl(fka Losing It)	2010	Kings	NYC
Maladies	2010	Kings	NYC
Miraculous Year Pilot	2010	Kings	NYC
GWB	2010	Kings	NYC
Girl is in Trouble	2010	Kings	NYC
Men in Black III	2010	Kings	NYC
Mr. Popper's Penguins	2010	Kings	NYC
I Don't Know How She Does It	2010	Kings	NYC
Damages Season 4	2010	Kings	NYC
Northeast AKA New York	2010	Kings	NYC
Arthur	2010	Kings	NYC
Detachment	2010	Kings	NYC
Not For Nothing	2010	Kings	NYC
Art Machine	2010	Kings	NYC
That's What She Said	2010	Kings	NYC
In the Family	2010	Kings	NYC
"Nancy, Please"	2010	Kings	NYC
Patient 001	2010	Kings	NYC
Someday This Pain Will Be Useful to You	2010	Kings	NYC
Found in Time	2010	Kings	NYC
For Ellen	2010	Kings	NYC
Goat	2010	Kings	NYC
Identical(fka Bleecker St)	2010	Kings	NYC
Peace After Marriage	2010	Kings	NYC
Jack & Diane	2010	Kings	NYC
Downtown Express	2010	Kings	NYC
Damsels in Distress	2010	Kings	NYC
Law and Order SVU Season 12	2010	New York	NYC
Memphis	2010	New York	NYC
Desperate Endeavors	2010	New York	NYC
"Late Quartet, A"	2010	New York	NYC
Something Borrowed	2010	New York	NYC
Onion Sports Network	2010	New York	NYC
Onion News Network Season 1	2010	New York	NYC
"Normals, The"	2010	New York	NYC
Saturday Night Live Season 36	2010	New York	NYC
Whitest Kids You Know Season 5	2010	New York	NYC
Fall fka Graveyard	2010	Queens	NYC
Son of No One	2010	Queens	NYC
Our Idiot Brother(fka My I.B)	2010	Queens	NYC
Nurse Jackie Season 3	2010	Queens	NYC
Premium Rush	2010	Queens	NYC
"Good Wife, The Season 2"	2010	Queens	NYC
Blue Bloods Season 1	2010	Queens	NYC
Jeremy FinkåÉMeaning of Life	2010	Queens	NYC
I Just Want My Pants Back Pilot	2010	Queens	NYC
Violet & Daisy	2010	Queens	NYC
Not Fade Away fka David Chase Untitled	2010	Queens	NYC
"Legal Mind, A Pilot"	2010	Queens	NYC
Friends with Kids	2010	Queens	NYC
Shame	2010	Queens	NYC
Sister Spirit aka Ass Backwards	2010	Queens	NYC
Margin Call	2010	Queens	NYC
Beach Lane Pilot	2010	Queens	NYC
Dark Horse	2010	Queens	NYC
Slime City Massacre	2009	Monroe	Finger Lakes
Hamill	2009	Monroe	Finger Lakes
After	2009	Monroe	Finger Lakes
Sex and the City 2	2009	Queens	Long Island
Remember Me	2009	Queens	Long Island
Fair Game	2009	Queens	Long Island
Ugly Betty Season 4	2009	Queens	Long Island
Gossip Girl Season 3	2009	Queens	Long Island
Little Help	2009	Queens	Long Island
Thirty Rock Season 4	2009	Queens	Long Island
White Collar Season 1	2009	Queens	Long Island
White Collar Season 2	2009	Queens	Long Island
Big Lake (fka Jon Heder Project)	2009	Queens	Long Island
Romantics	2009	Suffolk	Long Island
Rocksteady	2009	Ulster	Mid-Hudson
Meskada	2009	Ulster	Mid-Hudson
Henry's Crime	2009	Westchester	Mid-Hudson
Oranges	2009	Westchester	Mid-Hudson
Black Swan	2009	Westchester	Mid-Hudson
Recreator	2009	Franklin	North Country
Weakness	2009	Kings	NYC
You Don't Know Jack	2009	Kings	NYC
"Other Guys, The"	2009	Kings	NYC
Forgetting the Girl	2009	Kings	NYC
Collar	2009	Kings	NYC
Adjustment Bureau	2009	Kings	NYC
Damages Season 3	2009	Kings	NYC
Bored to Death Season 2	2009	Kings	NYC
Mildred Pierce	2009	Kings	NYC
In Treatment Season 3	2009	Kings	NYC
Violet Tendencies (aka Bye Bye Fruit Fly)	2009	Kings	NYC
Pariah	2009	Kings	NYC
Gravity	2009	Kings	NYC
Happy New Year	2009	Kings	NYC
Cargo	2009	Kings	NYC
Arrested Development	2009	Kings	NYC
Imperialists are Still Alive	2009	Kings	NYC
Switch (fka The Baster)	2009	Kings	NYC
HappyThankYouMorePlease	2009	Kings	NYC
Beware the Gonzo aka Gonzo Files	2009	Kings	NYC
Roadie	2009	Kings	NYC
White Irish Drinkers	2009	Kings	NYC
Somebody's Hero	2009	Kings	NYC
Sweet Lorraine	2009	Kings	NYC
Certainty	2009	Kings	NYC
Just Wright	2009	Kings	NYC
It's Kind of a Funny Story	2009	Kings	NYC
Whitest Kids You Know Season 4	2009	Kings	NYC
"Beaver, The"	2009	Kings	NYC
Extra Man	2009	Kings	NYC
Monogamy	2009	Kings	NYC
Zerosome	2009	Kings	NYC
Trophy Kids	2009	Kings	NYC
Boy Wonder	2009	Kings	NYC
Music Never Stopped AKA Mr. Tambourine Man	2009	New York	NYC
Law and Order CI Season 9	2009	New York	NYC
Law and Order Season 20	2009	New York	NYC
Wall Street: Money Never Sleeps	2009	New York	NYC
Big Gay Sketch Show Season 3	2009	New York	NYC
Michael and Michael Have Issues Season 1	2009	New York	NYC
Z Rock Season 2	2009	New York	NYC
Morning Glory	2009	New York	NYC
Sherri Shepherd Show Season 1	2009	New York	NYC
Saturday Night Live Season 35	2009	New York	NYC
Royal Pains Season 1	2009	Queens	NYC
Going the Distance	2009	Queens	NYC
Lights Out Season 1	2009	Queens	NYC
Beautiful Life Season 1	2009	Queens	NYC
Nurse Jackie Season 2	2009	Queens	NYC
Rabbit Hole	2009	Queens	NYC
"Eat, Pray, Love"	2009	Queens	NYC
"Smurfs, The"	2009	Queens	NYC
How to Make It in America Season 1	2009	Queens	NYC
Rescue Me Season 6	2009	Queens	NYC
Good Wife Season 1	2009	Queens	NYC
Ceremony	2009	Queens	NYC
Off Duty Pilot	2009	Queens	NYC
Bounty Hunter	2009	Queens	NYC
Twelve	2009	Queens	NYC
Rubicon Season 1	2009	Queens	NYC
Royal Pains Season 2	2009	Queens	NYC
Louie Season 1	2009	Queens	NYC
Win Win	2009	Queens	NYC
