Villain	Year first	Year last	Doc. no.	Doctor actor	Episodes	Stories, total	Motivation (invasion earth, kill humans, etc)	Story titles
Plasmavores (Florence Finnegan)	2007	2007	10	David Tennant	1	1	Drink blood	Smith and Jones
Slyther	1964	1964	1	Wiliam Hartnell	6	1	Serve big bad	The Dalek Invasion of Earth
Cybershades	2008	2008	10	David Tennant	1	1	Serve big bad	 The Next Doctor
Daleks	1963	2010	1, 2, 3, 4, 5, 6, 7, 9, 10, 11	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, Christopher Eccleston, David Tennant, Matt Smith	104	37	Earth invasion/Human extermination	The Daleks, The Dalek Invasion of Earth, The Chase, Mission to the Unknown, The Daleks' Master Plan, The Power of the Daleks, The Evil of the Daleks, Day of the Daleks, Planet of the Daleks, Death to the Daleks, Genesis of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, Dalek, Bad Wolf/The Parting of the Ways, Army of Ghosts/Doomsday, Daleks in, Manhattan/Evolution of the Daleks, The Stolen Earth, Journey's End, Victory of the Daleks, The Pandorica Opens, The Big Bang, The Space Museum, The Wheel in Space, The War Games, The Mind of Evil, Frontier in Space, The Five Doctors, Doctor Who, Human Nature, The Waters of Mars, The Beast Below, The Wedding of River Song, Asylum of the Daleks
Kovarian, Madame	2011	2011	11	Matt Smith	5	5	Kill Doctor and companions	Day of the Moon, The Curse of the Black Spot, The Rebel Flesh/The Almost People, A Good Man Goes to War, The Wedding of River Song
Capel, Taren	1977	1977	4	Tom Baker	4	1	Kill humans	The Robots of Death
Bragen	1966	1966	2	Patrick Troughton	6	1	Serve big bad	The Power of the Daleks
Rago Navigator	1968	1968	2	Patrick Troughton	5	1	Conserve energy	The Dominators
Eknodine	2010	2010	11	Matt Smith	1	1	Control humans, survival	Amy's Choice
Rorvik	1980	1980	4	Tom Baker	4	1	Slave Trader	Warriors' Gate
Robot Dr Who	1965	1965	1	William Hartnell	6	1	Kill Doctor and companions	The Chase
VOC robot	1977	1977	4	Tom Baker	4	1	Serve big bad	The Robots of Death
Alliance - onscreen - Daleks, Cybermen, Sontarans & Autons, (cameos Silurians, Sycorax, Judoon, Hoix, Roboforms, microcameos Blowfish, Uvodni, Weevils)	2010	2010	11	Matt Smith	1	1	Imprison the Doctor	The Pandorica Opens
Prisoner Zero	2010	2010	11	Matt Smith	1	1	Fugative	The Eleventh Hour
Peinforte, Lady	1988	1988	7	Sylvester McCoy	3	1	Wanted ownership of a weapon	Silver Nemesis
Sontarans	1973	2008	2,3,4,6,10,11	Patrick Troughton, Jon Pertwee, Tom Baker, Colin Baker, David Tennant, Matt Smith	21	9	War, world domination	The Time Warrior, The Sontaran Experiment, The Invasion of Time, The Two Doctors, The Sontaran Stratagem/The Poison Sky, Logopolis, The End of Time, The Pandorica Opens, A Good Man Goes to War
Solon, Dr Mehendri	1976	1976	4	Tom Baker	4	1	Medical experiments	The Brain of Morbius
Winters, Miss	1974	1975	4	Tom Baker	4	1	Blackmail	Robot
Timanor	1984	1984	5	Peter Davison	4	1	Power	Planet of Fire 
Chang, Li H'sen	1977	1977	4	Tom Baker	6	1	Serve big bad	Talons of Weng Chiang
Styggron, Chief scientist	1975	1975	4	Tom Baker	4	1	Medical experiments	The Android Invasion
Thawn	1978	1979	4	Tom Baker	4	1	Power	The Power of Kroll
Meddling Monk (the)	1965	1966	1	William Hartnell	8	2	Interfere with history	The Time Meddler, The Daleks' Master Plan
Plasmatons	1982	1982	5	Peter Davison	4	1	Serve big bad	Time-Flight
Ogri	1978	1978	4	Tom Baker	4	1	Protect	The Stones of Blood
Lok	2007	2007	10	David Tennant	13	1	Kill humans	The Infinite Quest 
Keller Machine	1971	1971	3	Jon Pertwee	6	1	Control Humans	The mind of Evil
Family of Blood	2007	2007	10	David Tennant	2	1	Kill/take control of humans and the Doctor	Human Nature/The Family of Blood
Clockwork Repair Droids	2006	2006	10	David Tennant	1	1	Take brain, repair ship	The Girl in the Fireplace
Mehendri Solon	1976	1976	4	Tom Baker	4	1	Kill the Doctor	The Brain of Morbius
De Flores	1988	1988	7	Sylvester McCoy	3	1	Human dictatorship, establish fourth reich	Silver Nemisis
Irongron	1973	1974	3	Jon Pertwee	4	1	Crime, serve big bad	 The Time Warrior
Ice Warriors (inc benevolent appearences)	1967	2013	2,3,11	Patrick Troughton, Jon Pertwee, Matt Smith	25	7	Absorb planets	The Ice Warriors, The Seeds of Death, The Curse of Peladon, The Monster of Peladon,The War Games, The Mind of Evil, Cold War
Chessene of the Franzine Grig	1985	1985	2,6	Patrick Troughton, Peter Davison	3	1	Get a time machine	The Two Doctors
Glitz, Sabalom	1986	1987	6,7	Colin Baker, Sylvester McCoy	9	3	Self-interest	The Mysterious Planet, The Ultimate Foe, Dragonfire
Dominators	1968	1968	2	Patrick Troughton	5	1	Turn Planet into fuel	The Dominators
Sutekh	1975	1975	4	Tom Baker	4	1	Destroy all life	Pyramids of Mars
Benik	1967	1968	2	Patrick Troughton	6	1	Serve Big Bad	The Enemy of the World
Lethbridge-Stewart, Brigade Leader (alt universe)	1970	1970	3	Jon Pertwee	7	1	Fascist stooge	Inferno
Mantasphid Queen	2007	2007	10	David Tennant	13	1	Power	The Infinite Quest 
Ood, the (Oodkind), inc benevolent appearances	2006	2010	10,11	David Tennant, Matt Smith	6	4	Serve big bad	The Impossible Planet/The Satan Pit, Planet of the Ood, The Waters of Mars, Human Nature
Finch, Mr (Lassar)	2006	2006	10	David Tennant	1	1	Kill humans	School Reunion
Oracle (the)	1978	1978	4	Tom Baker	4	1	Control of alien species	Underworld
Chief Caretaker	1987	1987	7	Sylvester McCoy	4	1	Kill humans	Paradise Towers
Lilith	2007	2007	10	David Tennant	1	1	Control Humans	The Shakespeare Code
Karfelon androids	1985	1985	6	Colin Baker	2	1	Serve big bad	Timelash
Slitheen (Strickland, Margaret Blaine and Oliver Charles)	2005	2005	9	Christopher Eccleston	3	2	World domination, kill humans	Aliens of London/World War Three, Boom Town
Minotaur, The	2011	2011	11	Matt Smith	1	1	Feed on beliefs	The God complex
Nucleus	1977	1977	4	Tom Baker	4	1	Disease, infection	The Invisible Enemy
Silence (the)	2011	2011	11	Matt Smith	4	3	World domination	The Impossible Astronaut/Day of the Moon, Let's Kill Hitler, The Wedding of River Song
Valeyard (the)	1986	1986	6	Colin Baker	18	2	Kill the Doctor	The Mysterious Planet/The Ultimate Foe, Trial of a Timelord
Isolus flowers (Scribble Monster)	2006	2006	10	David Tennant	1	1	Self interest	Fear Her
Varl	1985	1985	2,6	Patrick Troughton, Colin Baker	3	1	Possess time travel	The Two Doctors
San Francisco street gang	1996	1996	7,8	Sylvester McCoy, Paul McGann	1	1	Turf war (shoots doctor)	Doctor Who (TV movie)
Jek's androids	1984	1984	5,6	Peter Davison, Colin Baker	4	1	Serve big bad	The Caves of Androzani
Kellman	1975	1975	4	Tom Baker	4	1	Serve big bad	Revenge of the Cybermen
Frankenstein's monster robot	1965	1965	1	William Hartnell	6	1	Serve big bad	The Chase
Kroagnon	1987	1987	7	Sylvester McCoy	4	1	Kill humans	Paradise Towers
Shadow (the)	1979	1979	4	Tom Baker	6	1	War	The Armageddon Factor
Gavrok	1989	1989	7	Sylvester McCoy	4	1	Kill another alien species	The Greatest Show in the Galaxy
Casp, Matron	2006	2007	10	David Tennant	2	1	Medical experiments	New Earth/Gridlock
Scaroth	1979	1979	4	Tom Baker	4	1	Steal the Mona Lisa to finance experiments	City of Death
Pike, Samuel 	1966	1966	1	William Hartnell	4	1	Find Treasure	The Smugglers
Soldeed, The	1979	1980	4	Tom Baker	4	1	Rebuild the Skonnan Empire	The Horns of Nimon
Morpho	1964	1964	1	William Hartnell	6	1	Save alien planet	The Keys of Marinus
Millington, Commander AH	1989	1989	7	Sylvester McCoy	4	1	Serve big bad	The Curse of Fenric
Drathro (L3 robot)	1986	1986	6	Colin Baker	4	1	Protect	The Mysterious Planet
Dracula, Robot Count	1965	1965	1	William Hartnell	6	1	Serve big bad	The Chase
Daughter of Mine	2007	2007	10	David Tennant	2	1	Infiltrate places	Human Nature/The Family of Blood
Capricorn, Max	2007	2007	10	David Tennant	1	1	Bankrupt company	Voyage of the Damned
Rudge	1986	1986	6	Colin Baker	4	1	Serve big bad	Terror of the Vervoids
Dent	1971	1971	3	Jon Pertwee	6	1	Make money	Colony in Space
Gell guards 	1972	1973	1,2,3	William Hartnell, Patrick Troughton, Jon Pertwee	4	1	Serve big bad	The Three Doctors
Salamander	1967	1968	2	Patrick Troughton	6	1	Wants to control an organisation	The Enemy of the World
Zu-Zana	2005	2005	9	Christopher Eccleston	1	1	Serve big bad	Bad Wolf
Nilson	1984	1984	5	Peter Davison	4	1	Serve big bad	Warriors of the Deep
Sensorites	1964	1964	1	William Hartnell	6	1	Fear	The Sensorites
Mysterious Man	2007	2007	10	David Tennant	1	1	Power/ serve big bad	The Hazarus Experiment
Dalek prime minister	2012	2012	11	Matt Smith	1	1	Protecting the Daleks	Asylum of the Daleks
Skorpius Flies	2009	2009	10	David Tennant	7	1	Self interest (food)	Dreamland
Ogrons 	1972	1973	3	Jon Pertwee	10	2	Serve big bad	Day of the Daleks, Frontier in Space
Zaroff, Professor	1967	1967	2	Patrick Troughton	4	1	Destroy the World	The Underwater Menace
Primord	1970	1970	3	Jon Pertwee	7	1	Control Humans	Inferno
Axons	1971	1971	3	Jon Pertwee	4	1	Earth invasion/Human extermination	The Claws of Axos
Kroll	1978	1979	4	Tom Baker	4	1	Indiscriminate destruction	The Power of Kroll
Adipose Industries 	2008	2008	10	David Tennant	1	1	Control the World	Partners in Crime
Smith, Josiah Samuel (Survey)	1989	1989	7	Sylvester McCoy	3	1	Destroy all life	Ghost Light
Lupine Wavelength Haemovariform (werewolf)	2006	2006	10	David Tennant	1	1	Kill everything	Tooth and Claw
Hoix	2006	2010	10,11	David Tennant, Matt Smith	2	2	Consume everything/Imprison the Doctor	Love and Monsters (cameo), The Pandorica Opens (see Alliance above)
Wire (the)	2006	2006	10	David Tennant	1	1	Erase thoughts	The Idiot's Lantern
Hepesh	1972	1972	3	Jon Pertwee	4	1	Universal control	The Curse of Peladon
Varga	1967	1967	2	Patrick Troughton	6	1	World domination	The Ice Warriors
Gurney, Constantine Ethelred	2007	2007	10	David Tennant	13	1	Larceny, blackmail and fraud	The Infinite Quest 
Shakri	2012	2012	11	Matt Smith	1	1	Destroy humans	The Power of Three
Clown robots	1989	1989	7	Sylvester McCoy	4	1	Serve big bad	The Greatest Show in the Galaxy
Dextrus, Lucias Petrus	2008	2008	10	David Tennant	1	1	Dominate the world	The Fires of Pompeii
Terileptils	1982	1982	5	Peter Davison	4	1	Kill the Doctor	The Visitation
Hindle	1982	1982	5	Peter Davison	4	1	Serve big bad	Kinda
Ingiger	1989	1989	7	Sylvester McCoy	4	1	Control alien species	The Curse of Fenric
Marshal of Atrios	1979	1979	4	Tom Baker 	6	1	Power	The Armageddon Factor
Hedin, Councillor	1983	1983	5	Peter Davison	4	1	Viral infection	Arc of Infinity
Peking Homunculus (Mr Sin)	1977	1977	4	Tom Baker	6	1	Kill humans	Talons of Weng Chiang
Forest Monster	2013	2013	11	Matt Smith	1	1	Find mate	Hide
Loch Ness Monster (Skarasen)	1975	1975	4	Tom Baker	4	1	Serve big bad	Terror of the Zygons
Aukon (one of Three who rule)	1980	1980	4	Tom Baker	4	1	Drink blood, control humans	State of Decay
Sea Devils	1972	1984	3,5	Jon Pertwee, Peter Davison	10	2	Capture the Doctor	The Sea Devils, Warriors of the Deep
Anti-matter monster	1975	1975	4	Tom Baker	4	1	Energy	Planet of Evil
Cheetah people	1989	1989	7	Sylvester McCoy	3	1	Serve big bad	Survival
Gubbage Cone 	1965	1965	1	William Hartnell	6	1	Attack the Doctor	The Chase
Caw 	2007	2007	10	David Tennant	13	1	Gold	The Infinite Quest 
Winder 	2010	2010	11	Matt Smith	1	1	Protect 	The Beast Below
Taltalian, Bruno	1970	1970	7	Jon Pertwee	7	1	Serve big bad	The Ambassadors of Death
Adrasta, Lady	1979	1979	4	Tom Baker	4	1	Mineral wealth	The Creature from the Pit
Trask (The Highlanders)	1966	1967	2	Patrick Troughton	4	1	Smuggle weapons	The Highlanders
Mansell	1983	1983	5	Peter Davison	4	1	Competing for enlightment	Enlightenment
Tegana	1964	1964	1	William Hartnell	7	1	Kill the Doctor	Marco Polo
Wirrn/Wirrrn 	1975	1975	4	Tom Baker	4	1	World domination	The Ark in Space
Ulysees Meregrass	2007	2007	10	David Tennant 	13	1	Make money	The Infinite QuestElders (the)	1966	1966	1	William Hartnell	4	1	Self interest	The Savages
Neo-Nazis, Windsor	1988	1988	7	Sylvester McCoy	3	1	Fascist stooge	Silver Nemesis
Viperox	2009	2009	10	David Tennant	7	1	Hunt/invade	Dreamland
Calvierri, Signora Rosanna	2010	2010	11	Matt Smith	1	1	reproduce	The Vampires of Venice
Vasor	1964	1964	1	William Hartnell	6	1	Save alien planet	The Keys of Marinus
Gravis	1984	1984	5	Peter Davison	4	1	Kill Humans	Frontios
